tag,country,province,lat,lng
0,Japan,Tōkyō,35.685,139.7514
1,US,New York,40.6943,-73.9249
2,Mexico,Ciudad de México,19.4424,-99.131
3,India,Mahārāshtra,19.017,72.857
4,Brazil,São Paulo,-23.5587,-46.625
5,India,Delhi,28.67,77.23
6,Mainland China,Shanghai,31.2165,121.4365
7,India,West Bengal,22.495,88.3247
8,US,California,34.1139,-118.4068
9,Bangladesh,Dhaka,23.7231,90.4086
10,Argentina,"Buenos Aires, Ciudad Autónoma de",-34.6025,-58.3975
11,Pakistan,Sindh,24.87,66.99
12,Egypt,Al Qāhirah,30.05,31.25
13,Brazil,Rio de Janeiro,-22.925,-43.225
14,Japan,Ōsaka,34.75,135.4601
15,Mainland China,Beijing,39.9289,116.3883
16,Philippines,Manila,14.6042,120.9822
17,Russia,Moskva,55.7522,37.6155
18,Turkey,İstanbul,41.105,29.01
19,France,Île-de-France,48.8667,2.3333
20,"Korea, South",Seoul,37.5663,126.9997
21,Nigeria,Lagos,6.4433,3.3915
22,Indonesia,Jakarta,-6.1744,106.8294
23,Mainland China,Guangdong,23.145,113.325
24,US,Illinois,41.8373,-87.6862
25,United Kingdom,"London, City of",51.5,-0.1167
26,Peru,Lima,-12.048,-77.0501
27,Iran,Tehrān,35.6719,51.4243
28,Congo (Kinshasa),Kinshasa,-4.3297,15.315
29,Colombia,Bogotá,4.5964,-74.0833
31,Mainland China,Hubei,30.58,114.27
32,Hong Kong,,22.305,114.185
33,Mainland China,Tianjin,39.13,117.2
34,India,Tamil Nādu ,13.09,80.28
35,Taiwan,Taipei,25.0358,121.5683
36,India,Karnātaka,12.97,77.56
37,Thailand,Krung Thep Maha Nakhon,13.75,100.5166
38,Pakistan,Punjab,31.56,74.35
39,Mainland China,Chongqing,29.565,106.595
40,US,Florida,25.7839,-80.2102
41,India,Telangana,17.4,78.48
42,US,Texas,32.7936,-96.7662
43,Chile,Región Metropolitana,-33.45,-70.667
44,US,Pennsylvania,40.0077,-75.1339
45,Brazil,Minas Gerais,-19.915,-43.915
46,Spain,Madrid,40.4,-3.6834
48,India,Gujarāt,23.0301,72.58
49,Vietnam,Hồ Chí Minh,10.78,106.695
50,US,District of Columbia,38.9047,-77.0163
51,US,Georgia,33.7627,-84.4225
52,Canada,Ontario,43.7,-79.42
54,Angola,Luanda,-8.8383,13.2344
55,Iraq,Baghdād,33.3386,44.3939
56,Spain,Catalonia,41.3833,2.1834
58,Mainland China,Liaoning,41.805,123.45
59,Sudan,Khartoum,15.5881,32.5342
61,US,Massachusetts,42.3188,-71.0846
62,Australia,New South Wales,-33.92,151.1852
63,Russia,Sankt-Peterburg,59.93899999999999,30.316
64,Bangladesh,Chittagong,22.33,91.8
66,Saudi Arabia,Ar Riyāḑ,24.6408,46.7727
67,Vietnam,Hà Nội,21.0333,105.85
68,Mexico,Jalisco,20.67,-103.33
69,Australia,Victoria,-37.82,144.975
70,Egypt,Al Iskandarīyah,31.2,29.95
71,Mainland China,Sichuan,30.67,104.07
72,Burma,Yangon,16.7834,96.1667
73,US,Arizona,33.5722,-112.0891
74,Mainland China,Shaanxi,34.275,108.895
75,Brazil,Rio Grande do Sul,-30.05,-51.2
77,Mainland China,Guangxi,23.0965,109.6091
78,Côte D’Ivoire,Abidjan,5.32,-4.04
79,Brazil,Distrito Federal,-15.7833,-47.9161
80,Turkey,Ankara,39.9272,32.8644
81,Mexico,Nuevo León,25.67,-100.33
82,Japan,Kanagawa,35.32,139.58
83,Mainland China,Jiangsu,32.05,118.78
84,Canada,Québec,45.5,-73.5833
85,Mainland China,Guizhou,26.58,106.72
86,Brazil,Pernambuco,-8.0756,-34.9156
87,US,Washington,47.6211,-122.3244
88,Mainland China,Heilongjiang,45.75,126.65
90,Brazil,Ceará,-3.75,-38.58
91,Mainland China,Fujian,24.5204,117.67
92,US,Michigan,42.3834,-83.1024
93,Brazil,Bahia,-12.97,-38.48
94,"Korea, South",Busan,35.0951,129.01
95,South Africa,Gauteng,-26.17,28.03
96,Germany,Berlin,52.5218,13.4015
97,Algeria,Alger,36.7631,3.0506
98,Italy,Lazio,41.896,12.4833
99,"Korea, North",P’yŏngyang,39.0194,125.7547
100,Colombia,Antioquia,6.275,-75.575
101,Afghanistan,Kābul,34.5167,69.1833
102,Greece,Attikí,37.9833,23.7333
103,Japan,Aichi,35.155,136.915
104,South Africa,Western Cape,-33.92,18.435
106,Mainland China,Jilin,43.865,125.34
107,Morocco,Casablanca-Settat,33.6,-7.6164
109,India,Uttar Pradesh,26.46,80.32
110,Nigeria,Kano,12.0,8.52
111,Israel,Tel Aviv,32.08,34.77
112,Ethiopia,Ādīs Ābeba,9.0333,38.7
113,Brazil,Paraná,-25.42,-49.32
114,Mainland China,Shandong,36.8,118.05
115,Saudi Arabia,Makkah al Mukarramah,21.5169,39.2192
116,Kenya,Nairobi City,-1.2833,36.8167
117,Mainland China,Zhejiang,30.25,120.17
119,Venezuela,Distrito Capital,10.501,-66.917
120,Italy,Lombardy,45.47,9.205
121,Germany,Baden-Württemberg,48.78,9.2
122,Mainland China,Yunnan,25.07,102.68
123,Tanzania,Dar es Salaam,-6.8,39.2683
124,US,Minnesota,44.9635,-93.2678
125,India,Rājasthān,26.9211,75.81
126,Mainland China,Shanxi,37.875,112.5451
127,Germany,Hesse,50.1,8.675
129,Indonesia,Jawa Timur,-7.2492,112.7508
130,Portugal,Lisboa,38.7227,-9.1449
133,Japan,Fukuoka,33.595,130.41
135,US,Colorado,39.7621,-104.8759
136,Taiwan,Kaohsiung,22.6333,120.2666
137,Philippines,Quezon,14.6504,121.03
138,Poland,Śląskie,50.2604,19.02
139,Syria,Ḩalab,36.23,37.17
140,South Africa,KwaZulu-Natal,-29.865,30.98
141,Ukraine,"Kyyiv, Misto",50.4334,30.5166
143,Egypt,Al Jīzah,30.01,31.19
144,Mainland China,Henan,34.755,113.6651
145,Taiwan,Taichung,24.1521,120.6817
147,Nigeria,Oyo,7.38,3.93
150,Mainland China,Hunan,28.2,112.97
151,Senegal,Dakar,14.7158,-17.4731
152,Turkey,İzmir,38.4361,27.1518
154,Mainland China,Gansu,36.056,103.792
155,"Korea, South",Incheon,37.4761,126.6422
156,Japan,Hokkaidō,43.075,141.34
158,Ecuador,Guayas,-2.22,-79.92
159,Malaysia,Pulau Pinang,5.4136,100.3294
160,Iran,Khorāsān-e Raẕavī,36.27,59.57
161,Syria,Dimashq,33.5,36.3
162,"Korea, South",Daegu,35.8668,128.607
165,Mainland China,Hebei,38.05,114.48
166,Tunisia,Tunis,36.8028,10.1797
167,Austria,Wien,48.2,16.3666
170,Indonesia,Jawa Barat,-6.95,107.57
173,Mainland China,Jiangxi,28.68,115.88
176,Canada,British Columbia,49.2734,-123.1216
177,United Kingdom,Birmingham,52.475,-1.92
178,Colombia,Valle del Cauca,3.4,-76.5
179,Italy,Campania,40.84,14.245
180,Japan,Miyagi,38.2871,141.0217
181,United Kingdom,Manchester,53.5004,-2.248
182,Mexico,Puebla,19.05,-98.2
183,Libya,Ţarābulus,32.8925,13.18
184,Uzbekistan,Toshkent,41.3117,69.2949
185,Cuba,La Habana,23.131999999999998,-82.3642
187,US,Maryland,39.3051,-76.6144
189,Brazil,Pará,-1.45,-48.48
190,India,Bihār,25.625,85.13
191,Dominican Republic,Ozama,18.4701,-69.9001
192,Mainland China,Xinjiang,43.805,87.575
194,Azerbaijan,Bakı,40.3953,49.8622
195,Ghana,Greater Accra,5.55,-0.2167
197,Indonesia,Sumatera Utara,3.58,98.65
198,Bolivia,Santa Cruz,-17.7539,-63.226000000000006
202,US,Missouri,38.6358,-90.2451
203,US,Nevada,36.2333,-115.2654
204,Venezuela,Zulia,10.73,-71.66
205,Kuwait,Al ‘Āşimah,29.3697,47.9783
206,Saudi Arabia,Ash Sharqīyah,26.4282,50.0997
207,US,Oregon,45.5371,-122.65
208,Mainland China,Hainan,20.05,110.32
209,Japan,Hiroshima,34.3878,132.4429
210,Mainland China,Inner Mongolia,40.6522,109.822
211,Mainland China,Anhui,31.85,117.28
212,India,Madhya Pradesh,22.7151,75.865
213,Brazil,Goiás,-16.72,-49.3
214,Yemen,Amānat al ‘Āşimah,15.3547,44.2066
216,Haiti,Ouest,18.541,-72.336
217,Vietnam,Hải Phòng,20.83,106.6801
220,Romania,Bucureşti,44.4334,26.0999
222,Cameroon,Littoral,4.0604,9.71
224,Taiwan,Tainan,23.0,120.2
226,Paraguay,Asunción,-25.2964,-57.6415
227,Pakistan,Khyber Pakhtunkhwa,34.75,72.35
228,Australia,Queensland,-27.455,153.0351
231,Lebanon,Beyrouth,33.872,35.5097
233,Belarus,Minsk,53.9,27.5666
234,Japan,Kyōto,35.03,135.75
235,Colombia,Atlántico,10.96,-74.8
238,Venezuela,Carabobo,10.23,-67.98
239,Germany,Hamburg,53.55,10.0
241,Brazil,Amazonas,-3.1,-60.0
244,Indonesia,Sumatera Selatan,-2.98,104.75
245,Belgium,Brussels-Capital Region,50.8333,4.3333
246,Germany,North Rhine-Westphalia,51.45,7.0166
247,US,Ohio,41.4767,-81.6805
254,Poland,Mazowieckie,52.25,21.0
255,Morocco,Rabat-Salé-Kénitra,34.0253,-6.8361
256,Brazil,Espírito Santo,-20.324,-40.366
257,Ecuador,Pichincha,-0.215,-78.5001
258,Madagascar,Antananarivo,-18.9166,47.5166
263,Hungary,Budapest,47.5,19.0833
264,Italy,Piedmont,45.0704,7.67
268,Ghana,Ashanti,6.69,-1.63
273,Taiwan,Taoyuan,24.965,121.2168
276,Iran,Eşfahān,32.7,51.7
278,Cameroon,Centre,3.8667,11.5167
282,Bolivia,La Paz,-16.498,-68.15
284,Nigeria,Federal Capital Territory,9.0833,7.5333
